City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Carnarvon,AU,75.27,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
1,Chuy,UY,75.27,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
3,Ushuaia,AR,60.46,broken clouds,-54.8,-68.3,Albatross Hotel
6,Atuona,PF,78.78,clear sky,-9.8,-139.0333,Villa Enata
7,Punta Arenas,CL,69.91,broken clouds,-53.15,-70.9167,Hotel Hain
10,Potiskum,NG,71.56,clear sky,11.7091,11.0694,Yobe NYSC Orietation Camp Dazigau
11,Saint-Philippe,RE,78.39,overcast clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
13,Vaini,TO,75.36,light rain,-21.2,-175.2,Keleti Beach Resort
16,Hermanus,ZA,67.89,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
19,Avarua,CK,77.05,overcast clouds,-21.2078,-159.775,Paradise Inn
20,Lucapa,AO,66.4,light rain,-8.4192,20.7447,Residência Ulisses Dos Santos
23,East London,ZA,72.54,few clouds,-33.0153,27.9116,Tu Casa
28,Bredasdorp,ZA,70.92,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
33,Hualmay,PE,74.75,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
39,Pringsewu,ID,72.18,moderate rain,-5.3582,104.9744,Urban Style by Front One
40,Kruisfontein,ZA,76.89,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
41,Camacha,PT,59.76,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
43,Mwense,ZM,66.88,light rain,-10.3845,28.698,Mwense Council Guest House
48,Castro,BR,77.86,moderate rain,-24.7911,-50.0119,CHACARA BAILLY
51,Hilo,US,71.11,heavy intensity rain,19.7297,-155.09,Hilo Hawaiian Hotel
53,Doha,QA,62.58,clear sky,25.2867,51.5333,Movenpick Hotel Doha
55,Anito,PH,76.41,light rain,12.4497,125.2886,FELIPA LAODENIO PROPERTY
56,Ribeira Grande,PT,63.0,broken clouds,38.5167,-28.7,Quinta da Meia Eira
57,Lebu,CL,66.25,clear sky,-37.6167,-73.65,Hostal Las Lilas
59,Keningau,MY,73.85,overcast clouds,5.3378,116.1602,Sabindo Hotel
60,Bengkulu,ID,76.1,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
63,San Patricio,US,64.49,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
70,Namibe,AO,75.06,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
73,Pisco,PE,72.01,mist,-13.7,-76.2167,Hotel San Isidro Oficial
79,Mount Isa,AU,76.77,broken clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
80,Salta,AR,62.58,overcast clouds,-24.7859,-65.4117,Hotel Alejandro I
82,Concepcion Del Oro,MX,60.31,overcast clouds,24.6333,-101.4167,Hotel Hacienda San Javier
86,Isangel,VU,77.11,light rain,-19.55,169.2667,Tanna Lodge
92,Bandarbeyla,SO,75.87,overcast clouds,9.4942,50.8122,JABIR HOTEL
94,Port Alfred,ZA,75.02,scattered clouds,-33.5906,26.891,The Halyards Hotel
97,Ponta Delgada,PT,64.51,scattered clouds,37.7333,-25.6667,Vila Nova Hotel
105,Cape Town,ZA,69.1,few clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
106,Demba,CD,68.61,light rain,-5.51,22.2667,Guest House Du Cinquantenaire
107,Fortuna,US,59.94,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
118,Saldanha,ZA,63.9,scattered clouds,-33.0117,17.9442,Blue Bay Lodge
119,Banda Aceh,ID,76.35,overcast clouds,5.5577,95.3222,Sulthan Hotel International
120,Victoria,HK,62.26,overcast clouds,22.2855,114.1577,Mini Hotel Central
122,Pasni,PK,71.6,clear sky,25.2631,63.471,Kashmiri Hotal
123,Victoria Point,AU,67.95,broken clouds,-27.5833,153.3,Bay Retreat Motel
128,Eureka,US,60.21,clear sky,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
145,Codrington,AU,57.51,clear sky,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
147,Dingle,PH,73.38,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
154,Bani,DO,76.75,broken clouds,18.2833,-70.3333,Hospedaje Henriquez
157,Sibolga,ID,75.07,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
159,Red Bluff,US,70.48,clear sky,40.1785,-122.2358,Hampton Inn & Suites Red Bluff
160,Kapaa,US,74.19,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
166,La Reforma,MX,76.75,few clouds,25.0833,-108.05,Hotel Reforma
171,Mar Del Plata,AR,66.22,light rain,-38.0023,-57.5575,Gran Hotel Mar del Plata
