City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Carnarvon,AU,-24.8667,113.6333,75.27,69,100,21.85,overcast clouds
1,Chuy,UY,-33.6971,-53.4616,75.27,39,3,16.82,clear sky
2,New Norfolk,AU,-42.7826,147.0587,52.72,74,4,1.95,clear sky
3,Ushuaia,AR,-54.8,-68.3,60.46,59,75,17.27,broken clouds
4,Faanui,PF,-16.4833,-151.75,81.23,75,100,22.88,overcast clouds
5,Dalvik,IS,65.9702,-18.5286,24.73,87,100,3.65,light snow
6,Atuona,PF,-9.8,-139.0333,78.78,72,0,19.04,clear sky
7,Punta Arenas,CL,-53.15,-70.9167,69.91,49,75,16.11,broken clouds
8,Hithadhoo,MV,-0.6,73.0833,82.47,73,32,12.55,scattered clouds
9,Kyren,RU,51.6828,102.1408,7.75,83,26,2.33,scattered clouds
10,Potiskum,NG,11.7091,11.0694,71.56,20,0,10.67,clear sky
11,Saint-Philippe,RE,-21.3585,55.7679,78.39,80,99,15.5,overcast clouds
12,Rikitea,PF,-23.1203,-134.9692,79.09,70,2,16.75,clear sky
13,Vaini,TO,-21.2,-175.2,75.36,94,100,12.66,light rain
14,Busselton,AU,-33.65,115.3333,54.09,53,64,17.92,broken clouds
15,Puerto Ayora,EC,-0.7393,-90.3518,84.16,85,58,5.99,broken clouds
16,Hermanus,ZA,-34.4187,19.2345,67.89,89,9,8.19,clear sky
17,Leh,IN,34.1667,77.5833,11.52,87,96,3.89,overcast clouds
18,Saravan,AM,39.7196,45.6483,21.85,76,36,6.69,scattered clouds
19,Avarua,CK,-21.2078,-159.775,77.05,88,85,10.36,overcast clouds
20,Lucapa,AO,-8.4192,20.7447,66.4,94,84,3.06,light rain
21,Torbay,CA,47.6666,-52.7314,16.57,81,75,14.97,broken clouds
22,Mikhaylovka,RU,50.06,43.2379,26.78,97,100,5.86,overcast clouds
23,East London,ZA,-33.0153,27.9116,72.54,88,20,12.66,few clouds
24,Cherskiy,RU,68.75,161.3,-31.16,100,24,1.1,few clouds
25,Sile,TR,41.1754,29.6133,43.47,66,0,5.37,clear sky
26,Adrar,MR,20.5022,-10.0711,73.11,8,0,9.17,clear sky
27,Koslan,RU,63.4564,48.8989,15.4,94,100,8.55,overcast clouds
28,Bredasdorp,ZA,-34.5322,20.0403,70.92,73,0,8.05,clear sky
29,Butaritari,KI,3.0707,172.7902,81.39,77,34,15.23,light rain
30,Herat,AF,34.5,62.0,41.27,72,0,0.83,clear sky
31,Bethel,US,41.3712,-73.414,29.71,58,100,1.99,overcast clouds
32,Villa Carlos Paz,AR,-31.4241,-64.4978,79.05,28,0,9.6,clear sky
33,Hualmay,PE,-11.0964,-77.6139,74.75,68,70,10.58,broken clouds
34,Novyy Urengoy,RU,66.0833,76.6333,-20.94,100,72,2.33,broken clouds
35,Huntsville,US,34.7304,-86.5861,52.92,46,0,3.0,clear sky
36,Vallenar,CL,-28.5708,-70.7581,87.82,22,0,11.48,clear sky
37,Khatanga,RU,71.9667,102.5,-18.33,98,99,8.61,overcast clouds
38,Hamilton,US,39.1834,-84.5333,39.83,59,2,1.01,clear sky
39,Pringsewu,ID,-5.3582,104.9744,72.18,98,100,0.76,moderate rain
40,Kruisfontein,ZA,-34.0033,24.7314,76.89,58,100,14.34,overcast clouds
41,Camacha,PT,33.0833,-16.3333,59.76,67,40,16.11,scattered clouds
42,Avon Lake,US,41.5053,-82.0282,36.64,55,15,8.99,few clouds
43,Mwense,ZM,-10.3845,28.698,66.88,95,100,3.29,light rain
44,Yellowknife,CA,62.456,-114.3525,-5.58,96,75,12.66,light snow
45,Solnechnyy,RU,50.7214,136.6319,-4.54,99,98,2.44,overcast clouds
46,Mataura,NZ,-46.1927,168.8643,42.48,90,10,0.92,clear sky
47,Narsaq,GL,60.9167,-46.05,9.37,72,100,1.16,overcast clouds
48,Castro,BR,-24.7911,-50.0119,77.86,67,29,6.71,moderate rain
49,Bluff,NZ,-46.6,168.3333,42.8,78,6,4.79,clear sky
50,Fort Nelson,CA,58.8053,-122.7002,11.79,92,40,8.05,scattered clouds
51,Hilo,US,19.7297,-155.09,71.11,91,100,5.75,heavy intensity rain
52,Norman Wells,CA,65.282,-126.8329,-14.76,70,75,12.66,broken clouds
53,Doha,QA,25.2867,51.5333,62.58,59,0,13.8,clear sky
54,Lazaro Cardenas,MX,17.9583,-102.2,84.97,43,17,9.13,few clouds
55,Anito,PH,12.4497,125.2886,76.41,88,76,10.89,light rain
56,Ribeira Grande,PT,38.5167,-28.7,63.0,82,75,12.66,broken clouds
57,Lebu,CL,-37.6167,-73.65,66.25,64,0,13.42,clear sky
58,Ruston,US,32.5232,-92.6379,51.85,36,0,1.99,clear sky
59,Keningau,MY,5.3378,116.1602,73.85,99,99,2.68,overcast clouds
60,Bengkulu,ID,-3.8004,102.2655,76.1,88,100,9.84,overcast clouds
61,Upernavik,GL,72.7868,-56.1549,-12.98,97,100,6.58,overcast clouds
62,Vidim,RU,56.4088,103.1106,8.98,99,100,2.66,overcast clouds
63,San Patricio,US,28.017,-97.5169,64.49,60,6,5.26,clear sky
64,Cayenne,GF,4.9333,-52.3333,82.09,85,100,4.0,moderate rain
65,Jamestown,US,42.097,-79.2353,34.52,29,12,11.01,few clouds
66,Provideniya,RU,64.3833,-173.3,-5.57,84,2,4.03,clear sky
67,Ikongo,MG,-21.8833,47.4333,72.7,98,100,2.59,moderate rain
68,Nikolskoye,RU,59.7035,30.7861,35.87,94,100,12.28,light snow
69,Barrow,US,71.2906,-156.7887,-23.78,69,20,13.8,haze
70,Namibe,AO,-15.1961,12.1522,75.06,69,100,13.47,overcast clouds
71,Haines Junction,CA,60.7522,-137.5108,29.03,92,100,7.07,overcast clouds
